file,psnr,ssim,lpips
GOPR0384_11_00_000001.png,24.226102323873082,0.7892174124717712,0.3702060282230377
GOPR0384_11_00_000002.png,24.699679875218294,0.8138604760169983,0.37080323696136475
GOPR0384_11_00_000003.png,25.555788320257022,0.8306199312210083,0.2657451033592224
GOPR0384_11_00_000004.png,25.3348699402557,0.8226987719535828,0.21949617564678192
GOPR0384_11_00_000005.png,27.11705842829636,0.8703551888465881,0.20336370170116425
GOPR0384_11_00_000006.png,26.752841996265193,0.8593711853027344,0.16909994184970856
GOPR0384_11_00_000007.png,30.42107584893681,0.9280600547790527,0.12328705191612244
GOPR0384_11_00_000008.png,26.92768868057614,0.8668800592422485,0.25176092982292175
GOPR0384_11_00_000009.png,30.568951270586936,0.9357208609580994,0.11584748327732086
GOPR0384_11_00_000010.png,31.458750635093587,0.9473378658294678,0.08160403370857239
GOPR0384_11_00_000011.png,27.996916754484907,0.8888577818870544,0.184753879904747
GOPR0384_11_00_000012.png,28.47197263720911,0.8947128057479858,0.22124190628528595
GOPR0384_11_00_000013.png,24.9587520773804,0.8200844526290894,0.32471346855163574
GOPR0384_11_00_000014.png,23.745211828283274,0.7768507599830627,0.40924468636512756
GOPR0384_11_00_000015.png,23.712118708995927,0.7772507667541504,0.3804342448711395
GOPR0384_11_00_000016.png,27.46552741880334,0.8899737596511841,0.18555116653442383
GOPR0384_11_00_000017.png,24.18572926593235,0.8305361866950989,0.2598669230937958
GOPR0384_11_00_000018.png,24.088574414919748,0.8198115825653076,0.2595776617527008
GOPR0384_11_00_000019.png,22.53440322926881,0.762208104133606,0.41866958141326904
GOPR0384_11_00_000020.png,28.00265574766009,0.895229697227478,0.1555904597043991
GOPR0384_11_00_000021.png,27.11415638642184,0.8679269552230835,0.16099420189857483
GOPR0384_11_00_000022.png,25.311521011431747,0.8207907676696777,0.2954321503639221
GOPR0384_11_00_000023.png,32.39022000845695,0.9526692628860474,0.08510954678058624
GOPR0384_11_00_000024.png,26.673071755868435,0.8712012767791748,0.177211731672287
GOPR0384_11_00_000025.png,31.801330692144923,0.9482772946357727,0.1045299842953682
GOPR0384_11_00_000026.png,27.23012100888862,0.861258327960968,0.20349770784378052
GOPR0384_11_00_000027.png,25.476376295709855,0.8240042924880981,0.22372525930404663
GOPR0384_11_00_000028.png,23.354451177691477,0.7782778143882751,0.3306044638156891
GOPR0384_11_00_000029.png,27.11007977531079,0.8794670701026917,0.24449412524700165
GOPR0384_11_00_000030.png,30.41105028685344,0.9338443875312805,0.1183171421289444
GOPR0384_11_00_000031.png,31.58080060168457,0.9493409991264343,0.07016049325466156
GOPR0384_11_00_000032.png,30.55937109271258,0.9316040873527527,0.1297212690114975
GOPR0384_11_00_000033.png,30.658594540244163,0.9320683479309082,0.10592129826545715
GOPR0384_11_00_000034.png,30.351892550857777,0.9259034991264343,0.1361108124256134
GOPR0384_11_00_000035.png,32.51592900644442,0.9523652791976929,0.10111047327518463
GOPR0384_11_00_000036.png,30.232768640603666,0.9272538423538208,0.10305991768836975
GOPR0384_11_00_000037.png,30.8216338235026,0.9431053996086121,0.08181411027908325
GOPR0384_11_00_000038.png,29.25390488361559,0.9142497777938843,0.13026799261569977
GOPR0384_11_00_000039.png,33.18982636513981,0.9618024826049805,0.06950990110635757
GOPR0384_11_00_000040.png,30.83604875157421,0.9368614554405212,0.10669407993555069
GOPR0384_11_00_000041.png,29.59822389444095,0.9250670671463013,0.1068241223692894
GOPR0384_11_00_000042.png,32.478725036382635,0.9569892883300781,0.06696431338787079
GOPR0384_11_00_000043.png,33.07629806223482,0.9609578251838684,0.06867999583482742
GOPR0384_11_00_000044.png,30.023473213243513,0.9362329840660095,0.10483075678348541
GOPR0384_11_00_000045.png,26.87718778294633,0.8689444065093994,0.1880427747964859
GOPR0384_11_00_000046.png,31.15322573501921,0.9393290877342224,0.10475325584411621
GOPR0384_11_00_000047.png,29.472300476476313,0.9325954914093018,0.08450920134782791
GOPR0384_11_00_000048.png,29.712155683338807,0.940060019493103,0.07163533568382263
GOPR0384_11_00_000049.png,30.956042741987922,0.9366683959960938,0.12220072746276855
GOPR0384_11_00_000050.png,33.207972163983605,0.9632870554924011,0.061863236129283905
GOPR0384_11_00_000051.png,32.162195147574096,0.9506069421768188,0.07678961753845215
GOPR0384_11_00_000052.png,27.96509821526098,0.8958277106285095,0.15303511917591095
GOPR0384_11_00_000053.png,27.715825848428004,0.884554386138916,0.24263983964920044
GOPR0384_11_00_000054.png,28.59005910555135,0.9066454768180847,0.1688750982284546
GOPR0384_11_00_000055.png,28.671951440288378,0.9042736291885376,0.17461511492729187
GOPR0384_11_00_000056.png,29.078795475785082,0.9104568362236023,0.14775113761425018
GOPR0384_11_00_000057.png,26.596052250663437,0.8566688299179077,0.19265659153461456
GOPR0384_11_00_000058.png,30.84075329704326,0.9352080821990967,0.13147194683551788
GOPR0384_11_00_000059.png,26.438596059353703,0.8570175170898438,0.2643858790397644
GOPR0384_11_00_000060.png,30.237853756255667,0.9363012909889221,0.11043566465377808
GOPR0384_11_00_000061.png,23.665092959734064,0.7911394238471985,0.3208588659763336
GOPR0384_11_00_000062.png,26.596685906971345,0.8811326026916504,0.21248529851436615
GOPR0384_11_00_000063.png,26.00650896698894,0.8511641025543213,0.26694050431251526
GOPR0384_11_00_000064.png,33.42137884325344,0.958077609539032,0.07345976680517197
GOPR0384_11_00_000065.png,25.77085504801865,0.8292369842529297,0.25529518723487854
GOPR0384_11_00_000066.png,24.60228129520944,0.802333414554596,0.3970237374305725
GOPR0384_11_00_000067.png,27.734639756390678,0.8813291192054749,0.1638961285352707
GOPR0384_11_00_000068.png,29.581612462723875,0.9088116884231567,0.14058920741081238
GOPR0384_11_00_000069.png,35.148777189351236,0.967460036277771,0.0593133307993412
GOPR0384_11_00_000070.png,28.02180462222957,0.8830946087837219,0.15567660331726074
GOPR0384_11_00_000071.png,32.66156192108197,0.947193443775177,0.08092710375785828
GOPR0384_11_00_000072.png,29.3539564120632,0.902310848236084,0.15113714337348938
